Casa,Treatment,ht.2018.04.cm,ht.2018.09.cm
A,T°C + CO2,37,44
B,CO2,36.5,50
C,control chamber,53,56
D,CO2,38,53
E,control chamber,45.5,56
F,T°C,42.5,60
G,T°C,43.2,49
H,T°C + CO2,42.5,54
I,T°C + CO2,41,65
J,control chamber,54,66
K,CO2,49.5,61
L,T°C,50,65
M,control chamber,60,66
N,CO2,58,65
O,control chamber,48.5,78
P,T°C,60,86
PL1,natural control,37,47
PL2,natural control,54.2,82
PL3,natural control,40,52
PL4,natural control,33,47
PL5,natural control,65,89
Q,T°C,48,52
R,CO2,40.8,60
S,T°C + CO2,57.5,63
T,T°C,45,64
