chamber,sample,stage,treat,plate,well,id,start_wt,abs1,abs2,abs3,abs_avg
N/A,blank1,,N/A,1,G12-1,G12-blank1,N/A,0.0484,0.047,0.0471,0.0475
N/A,blank2,,N/A,2,G12-2,G12-blank2,N/A,0.044,0.0438,0.0437,0.043833333
N/A,blank3,,N/A,3,H12-3,H12-blank3,N/A,0.0443,0.0449,0.0447,0.044633333
N/A,blank4,,N/A,4,B10-4,blank4,N/A,0.0438,0.0438,0.044,0.043866667
1,pg1m,m,control_nat,1,E06-1,E06-pg1m,12.87,0.4343,0.4303,0.4289,0.431166667
1,pg1m,m,control_nat,2,G02-2,G02-pg1m,12.87,0.4439,0.4359,0.4331,0.437633333
1,pg1m,m,control_nat,3,F07-3,F07-pg1m,12.87,0.4516,0.4476,0.4457,0.4483
1,pg1y,y,control_nat,2,E06-2,E06-pg1y,12.26,0.5357,0.527,0.5235,0.528733333
1,pg1y,y,control_nat,3,F04-3,F04-pg1y,12.26,0.5434,0.5345,0.5324,0.536766667
1,pg1y,y,control_nat,4,B03-4,B03-pg1y,12.26,0.5308,0.5305,0.5294,0.530233333
2,pg2m,m,control_nat,1,A11-1,A11-pg2m,12.57,0.6582,0.6537,0.6513,0.6544
2,pg2m,m,control_nat,1,E01-1,E01-pg2m,12.57,0.649,0.6427,0.639,0.643566667
2,pg2m,m,control_nat,1,E03-1,E03-pg2m,12.57,0.6543,0.6484,0.6462,0.649633333
2,pg2y,y,control_nat,1,C07-1,C07-pg2y,12.77,0.8111,0.8054,0.803,0.8065
2,pg2y,y,control_nat,2,E08-2,E08-pg2y,12.77,0.8327,0.8322,0.832,0.8323
2,pg2y,y,control_nat,3,D06-3,D06-pg2y,12.77,0.715,0.7084,0.7057,0.7097
3,pg3m,m,control_nat,1,G09-1,G09-pg3m,12.41,0.5427,0.538,0.5357,0.5388
3,pg3m,m,control_nat,2,A06-2,A06-pg3m,12.41,0.5106,0.5035,0.4997,0.5046
3,pg3m,m,control_nat,2,G09-2,G09-pg3m,12.41,0.5631,0.5557,0.5516,0.5568
3,pg3y,y,control_nat,1,A08-1,A08-pg3y,12.71,0.6281,0.624,0.6223,0.6248
3,pg3y,y,control_nat,1,E09-1,E09-pg3y,12.71,0.6491,0.6447,0.6424,0.6454
3,pg3y,y,control_nat,2,C07-2,C07-pg3y,12.71,0.6644,0.656,0.6515,0.6573
4,pg4m,m,control_nat,2,G07-2,G07-pg4m,12.65,0.3602,0.3571,0.3543,0.3572
4,pg4m,m,control_nat,2,G08-2,G08-pg4m,12.65,0.4258,0.4199,0.4169,0.420866667
4,pg4m,m,control_nat,4,B05-4,B05-pg4m,12.65,0.3983,0.3973,0.3955,0.397033333
4,pg4y,y,control_nat,1,A07-1,A07-pg4y,12.19,0.6516,0.6471,0.6458,0.648166667
4,pg4y,y,control_nat,1,G11-1,G11-pg4y,12.19,0.7422,0.7374,0.7345,0.738033333
4,pg4y,y,control_nat,3,B03-3,B03-pg4y,12.19,0.7575,0.7521,0.75,0.7532
5,pg5m,m,control_nat,2,C03-2,C03-pg5m,12.84,0.584,0.5752,0.5719,0.577033333
5,pg5m,m,control_nat,3,B04-3,B04-pg5m,12.84,0.5727,0.5675,0.5654,0.568533333
5,pg5m,m,control_nat,3,B09-3,B09-pg5m,12.84,0.5852,0.5802,0.5784,0.581266667
5,pg5y,y,control_nat,1,C10-1,C10-pg5y,12.63,0.6473,0.6433,0.6421,0.644233333
5,pg5y,y,control_nat,2,A11-2,A11-pg5y,12.63,0.6404,0.6346,0.6309,0.6353
5,pg5y,y,control_nat,4,B02-4,B02-pg5y,12.63,0.5867,0.5858,0.5845,0.585666667
A,pgAm,m,TC+CO2,1,C11-1,C11-pgAm,12.15,0.3771,0.3677,0.366,0.370266667
A,pgAm,m,TC+CO2,3,H11-3,H11-pgAm,12.15,0.3561,0.3531,0.3517,0.353633333
A,pgAm,m,TC+CO2,4,B01-4,B01-pgAm,12.15,0.3877,0.3872,0.3858,0.3869
A,pgAy,y,TC+CO2,1,A02-1,A02-pgAy,12.59,0.4947,0.49,0.4881,0.490933333
A,pgAy,y,TC+CO2,1,E08-1,E08-pgAy,12.59,0.5451,0.5413,0.5394,0.541933333
A,pgAy,y,TC+CO2,3,F05-3,F05-pgAy,12.59,0.5146,0.5092,0.5073,0.510366667
B,pgBm,m,CO2,1,G03-1,G03-pgBm,12.54,0.4332,0.4292,0.4267,0.4297
B,pgBm,m,CO2,3,F02-3,F02-pgBm,12.54,0.4341,0.4294,0.4279,0.430466667
B,pgBm,m,CO2,3,H05-3,H05-pgBm,12.54,0.4529,0.4475,0.4456,0.448666667
B,pgBy,y,CO2,2,C08-2,C08-pgBy,12.71,0.4614,0.4563,0.4537,0.457133333
B,pgBy,y,CO2,3,F03-3,F03-pgBy,12.71,0.5135,0.5068,0.505,0.508433333
B,pgBy,y,CO2,3,H03-3,H03-pgBy,12.71,0.5528,0.5452,0.5431,0.547033333
C,pgCm,m,control_chamber,2,A12-2,A12-pgCm,12.72,0.4578,0.4541,0.4512,0.454366667
C,pgCm,m,control_chamber,2,E03-2,E03-pgCm,12.72,0.4751,0.4669,0.4637,0.468566667
C,pgCm,m,control_chamber,3,B10-3,B10-pgCm,12.72,0.412,0.4083,0.4071,0.409133333
C,pgCy,y,control_chamber,2,C10-2,C10-pgCy,12.4,0.5662,0.564,0.5572,0.562466667
C,pgCy,y,control_chamber,3,B01-3,B01-pgCy,12.4,0.5774,0.5737,0.5721,0.5744
C,pgCy,y,control_chamber,3,H02-3,H02-pgCy,12.4,0.616,0.6092,0.6071,0.610766667
D,pgDm,m,CO2,1,E10-1,E10-pgDm,12.18,0.3874,0.3846,0.3834,0.385133333
D,pgDm,m,CO2,2,C01-2,C01-pgDm,12.18,0.3516,0.3461,0.3445,0.3474
D,pgDm,m,CO2,2,E12-2,E12-pgDm,12.18,0.4009,0.3968,0.3947,0.397466667
D,pgDy,y,CO2,2,E02-2,E02-pgDy,12.54,0.5449,0.5369,0.5336,0.538466667
D,pgDy,y,CO2,3,D03-3,D03-pgDy,12.54,0.4859,0.4814,0.4798,0.482366667
D,pgDy,y,CO2,3,D11-3,D11-pgDy,12.54,0.5121,0.5087,0.5076,0.509466667
E,pgEm,m,control_chamber,1,E12-1,E12-pgEm,12.76,0.2841,0.2821,0.2814,0.282533333
E,pgEm,m,control_chamber,1,G04-1,G04-pgEm,12.76,0.3501,0.3464,0.3446,0.347033333
E,pgEm,m,control_chamber,3,H06-3,H06-pgEm,12.76,0.3416,0.338,0.3364,0.338666667
E,pgEy,y,control_chamber,1,A04-1,A04-pgEy,12.86,0.4888,0.4852,0.4831,0.4857
E,pgEy,y,control_chamber,1,G06-1,G06-pgEy,12.86,0.5182,0.5145,0.5128,0.515166667
E,pgEy,y,control_chamber,2,A09-2,A09-pgEy,12.86,0.5344,0.5266,0.5245,0.5285
F,pgFm,m,TC,1,G01-1,G01-pgFm,12.24,0.4672,0.459,0.4557,0.460633333
F,pgFm,m,TC,3,F10-3,F10-pgFm,12.24,0.4562,0.4525,0.4507,0.453133333
F,pgFm,m,TC,3,H09-3,H09-pgFm,12.24,0.5112,0.5068,0.5047,0.507566667
F,pgFy,y,TC,2,A05-2,A05-pgFy,12.24,0.5854,0.5769,0.5723,0.5782
F,pgFy,y,TC,2,C04-2,C04-pgFy,12.24,0.6423,0.6352,0.6315,0.636333333
F,pgFy,y,TC,3,B07-3,B07-pgFy,12.24,0.6791,0.6732,0.6706,0.6743
G,pgGm,m,TC,1,A03-1,A03-pgGm,12.3,0.3235,0.321,0.3187,0.321066667
G,pgGm,m,TC,1,G08-1,G08-pgGm,12.3,0.0539,0.054,0.054,0.053966667
G,pgGm,m,TC,2,A01-2,A01-pgGm,12.3,0.342,0.3359,0.3338,0.337233333
G,pgGy,y,TC,1,A01-1,A01-pgGy,12.31,0.4895,0.4842,0.4812,0.484966667
G,pgGy,y,TC,2,A07-2,A07-pgGy,12.31,0.5588,0.5518,0.5488,0.553133333
G,pgGy,y,TC,3,F06-3,F06-pgGy,12.31,0.5083,0.5035,0.5015,0.504433333
H,pgHm,m,TC+CO2,1,A06-1,A06-pgHm,12.28,0.4947,0.4909,0.4888,0.491466667
H,pgHm,m,TC+CO2,2,E07-2,E07-pgHm,12.28,0.5142,0.5048,0.5009,0.506633333
H,pgHm,m,TC+CO2,3,D10-3,D10-pgHm,12.28,0.4997,0.4965,0.4946,0.496933333
H,pgHy,y,TC+CO2,3,B05-3,B05-pgHy,12.95,0.6058,0.6009,0.5989,0.601866667
H,pgHy,y,TC+CO2,3,B06-3,B06-pgHy,12.95,0.6607,0.6541,0.6518,0.655533333
H,pgHy,y,TC+CO2,3,D05-3,D05-pgHy,12.95,0.6908,0.6851,0.6821,0.686
I,pgIm,m,TC+CO2,1,C05-1,C05-pgIm,12.19,0.429,0.4255,0.4229,0.4258
I,pgIm,m,TC+CO2,2,A10-2,A10-pgIm,12.19,0.4654,0.4608,0.4582,0.461466667
I,pgIm,m,TC+CO2,2,E01-2,E01-pgIm,12.19,0.4582,0.4494,0.4467,0.451433333
I,pgIy,y,TC+CO2,2,A08-2,A08-pgIy,12.76,0.7,0.6918,0.6869,0.6929
I,pgIy,y,TC+CO2,3,B12-3,B12-pgIy,12.76,0.6685,0.6637,0.6616,0.6646
I,pgIy,y,TC+CO2,3,H10-3,H10-pgIy,12.76,0.7589,0.75,0.7505,0.753133333
