sample,stage,treat,plate,well,start_wt,abs1,abs2,abs3,abs_tot
pgBy,y,CO2,1,A01-1,12.71,0.956,0.947,0.945,0.949333333
pgBy,y,CO2,1,A02-1,12.71,0.707,0.695,0.686,0.696
pgBy,y,CO2,1,A03-1,12.71,0.641,0.632,0.628,0.633666667
pgAy,y,TC+CO2,1,A04-1,12.59,0.206,0.207,0.207,0.206666667
pgAy,y,TC+CO2,1,A05-1,12.59,0.743,0.739,0.802,0.761333333
pgAy,y,TC+CO2,1,A06-1,12.59,0.484,0.474,0.474,0.477333333
pgQy,y,TC,1,A07-1,12.73,0.178,0.181,0.184,0.181
pgQy,y,TC,1,A08-1,12.73,0.271,0.28,0.296,0.282333333
pgQy,y,TC,1,A09-1,12.73,0.224,0.227,0.233,0.228
pgKy,y,CO2,1,A10-1,12.58,0.182,0.181,0.191,0.184666667
pgKy,y,CO2,1,A11-1,12.58,0.883,0.876,0.885,0.881333333
pgKy,y,CO2,1,A12-1,12.58,0.191,0.195,0.197,0.194333333
pgGm,m,TC,1,B01-1,12.3,0.355,0.353,0.359,0.355666667
pgGm,m,TC,1,B02-1,12.3,0.762,0.749,0.741,0.750666667
pgGm,m,TC,1,B03-1,12.3,1.008,1.018,1.06,1.028666667
pgLy,y,TC,1,B04-1,12.39,0.629,0.64,0.666,0.645
pgLy,y,TC,1,B05-1,12.39,1.172,1.165,1.182,1.173
pgLy,y,TC,1,B06-1,12.39,0.664,0.676,0.721,0.687
pgTm,m,TC,1,B07-1,12.16,0.427,0.453,0.471,0.450333333
pgTm,m,TC,1,B08-1,12.16,0.928,0.932,0.953,0.937666667
pgTm,m,TC,1,B09-1,12.16,1.071,1.07,1.09,1.077
pgSm,m,TC+CO2,1,B10-1,12.31,0.733,0.756,0.857,0.782
pgSm,m,TC+CO2,1,B11-1,12.31,1.052,1.049,1.092,1.064333333
pgSm,m,TC+CO2,1,B12-1,12.31,0.414,0.453,0.468,0.445
pgCm,m,control_chamber,1,C01-1,12.72,0.719,0.719,0.729,0.722333333
pgCm,m,control_chamber,1,C02-1,12.72,0.887,0.922,0.973,0.927333333
pgCm,m,control_chamber,1,C03-1,12.72,0.654,0.666,0.688,0.669333333
pgTy,y,TC,1,C04-1,12.57,1.02,1.011,1.009,1.013333333
pgTy,y,TC,1,C05-1,12.57,1.09,1.083,1.084,1.085666667
pgTy,y,TC,1,C06-1,12.57,1.111,1.11,1.112,1.111
pgFm,m,TC,1,C07-1,12.24,1,1.024,1.048,1.024
pgFm,m,TC,1,C08-1,12.24,1.047,1.062,1.106,1.071666667
pgFm,m,TC,1,C09-1,12.24,0.426,0.46,0.484,0.456666667
pgNy,y,CO2,1,C10-1,12.76,0.802,0.848,0.89,0.846666667
pgNy,y,CO2,1,C11-1,12.76,1.129,1.131,1.147,1.135666667
pgNy,y,CO2,1,C12-1,12.76,1.079,1.072,1.107,1.086
pgCy,y,control_chamber,1,D01-1,12.4,0.784,0.8,0.836,0.806666667
pgCy,y,control_chamber,1,D02-1,12.4,1.085,1.099,1.105,1.096333333
pgCy,y,control_chamber,1,D03-1,12.4,0.578,0.596,0.612,0.595333333
pgRm,m,CO2,1,D04-1,12.37,0.912,0.942,0.965,0.939666667
pgRm,m,CO2,1,D05-1,12.37,1.034,1.039,1.034,1.035666667
pgRm,m,CO2,1,D06-1,12.37,1.024,1.034,1.067,1.041666667
pgSy,y,TC+CO2,1,D07-1,12.64,0.727,0.763,0.841,0.777
pgSy,y,TC+CO2,1,D08-1,12.64,0.433,0.474,0.568,0.491666667
pgSy,y,TC+CO2,1,D09-1,12.64,0.75,0.767,0.787,0.768
pgIm,m,TC+CO2,1,D10-1,12.19,0.608,0.642,0.664,0.638
pgIm,m,TC+CO2,1,D11-1,12.19,0.557,0.592,0.616,0.588333333
pgIm,m,TC+CO2,1,D12-1,12.19,0.642,0.685,0.848,0.725
pgGy,y,TC,1,E01-1,12.31,1.221,1.239,1.274,1.244666667
pgGy,y,TC,1,E02-1,12.31,1.04,1.059,1.141,1.08
pgGy,y,TC,1,E03-1,12.31,0.206,0.226,0.248,0.226666667
pgDm,m,CO2,1,E04-1,12.18,0.654,0.723,0.774,0.717
pgDm,m,CO2,1,E05-1,12.18,0.27,0.308,0.336,0.304666667
pgDm,m,CO2,1,E06-1,12.18,0.336,0.378,0.437,0.383666667
pgJy,y,control_chamber,1,E07-1,12.36,0.761,0.8,0.85,0.803666667
pgJy,y,control_chamber,1,E08-1,12.36,0.626,0.674,0.705,0.668333333
pgJy,y,control_chamber,1,E09-1,12.36,0.135,0.134,0.138,0.135666667
pgIy,y,TC+CO2,1,E10-1,12.76,0.388,0.423,0.471,0.427333333
pgIy,y,TC+CO2,1,E11-1,12.76,0.688,0.728,0.793,0.736333333
pgIy,y,TC+CO2,1,E12-1,12.76,1.136,1.131,1.185,1.150666667
pgHm,m,TC+CO2,1,F01-1,12.28,1.191,1.2,1.2,1.197
pgHm,m,TC+CO2,1,F02-1,12.28,0.86,0.891,0.909,0.886666667
pgHm,m,TC+CO2,1,F03-1,12.28,0.172,0.187,0.198,0.185666667
pgEm,m,control_chamber,1,F04-1,12.76,0.157,0.165,0.171,0.164333333
pgEm,m,control_chamber,1,F05-1,12.76,0.25,0.276,0.296,0.274
pgEm,m,control_chamber,1,F06-1,12.76,0.735,0.652,0.64,0.675666667
pgRy,y,CO2,1,F07-1,12.52,0.213,0.224,0.232,0.223
pgRy,y,CO2,1,F08-1,12.52,0.204,0.214,0.219,0.212333333
pgRy,y,CO2,1,F09-1,12.52,0.366,0.403,0.428,0.399
pgPy,y,TC,1,F10-1,12.72,0.14,0.141,0.143,0.141333333
pgPy,y,TC,1,F11-1,12.72,0.378,0.428,0.486,0.430666667
pgPy,y,TC,1,F12-1,12.72,1.027,1.108,1.25,1.128333333
pgFy,y,TC,1,G01-1,12.24,0.423,0.467,0.494,0.461333333
pgFy,y,TC,1,G02-1,12.24,0.651,0.469,0.493,0.537666667
pgFy,y,TC,1,G03-1,12.24,0.173,0.713,0.752,0.546
pgBm,m,CO2,1,G04-1,12.54,0.456,0.196,0.212,0.288
pgBm,m,CO2,1,G05-1,12.54,0.563,0.537,0.578,0.559333333
pgBm,m,CO2,1,G06-1,12.54,0.82,0.586,0.622,0.676
pgHy,y,TC+CO2,1,G07-1,12.95,0.873,0.831,0.875,0.859666667
pgHy,y,TC+CO2,1,G08-1,12.95,0.52,0.843,0.86,0.741
pgHy,y,TC+CO2,1,G09-1,12.95,0.172,0.584,0.66,0.472
pgDy,y,CO2,1,G10-1,12.54,0.233,0.174,0.185,0.197333333
pgDy,y,CO2,1,G11-1,12.54,0.463,0.271,0.296,0.343333333
pgDy,y,CO2,1,G12-1,12.54,0.441,0.491,0.629,0.520333333
pgEy,y,control_chamber,1,H01-1,12.86,0.25,0.271,0.28,0.267
pgEy,y,control_chamber,1,H02-1,12.86,0.684,0.859,0.971,0.838
pgEy,y,control_chamber,1,H03-1,12.86,0.294,0.309,0.33,0.311
pgAm,m,TC+CO2,1,H04-1,12.15,0.677,0.814,0.851,0.780666667
pgAm,m,TC+CO2,1,H05-1,12.15,0.729,0.788,0.846,0.787666667
pgAm,m,TC+CO2,1,H06-1,12.15,0.591,0.769,0.858,0.739333333
pgQm,m,TC,1,H07-1,12.72,0.685,0.887,0.911,0.827666667
pgQm,m,TC,1,H08-1,12.72,0.443,0.616,0.689,0.582666667
pgQm,m,TC,1,H09-1,12.72,0.203,0.226,0.236,0.221666667
blank1,N/A,N/A,1,H10-1,N/A,0.288,0.321,0.401,0.336666667
blank1,N/A,N/A,1,H11-1,N/A,0.758,0.967,1.071,0.932
blank1,N/A,N/A,1,H12-1,N/A,0.198,0.237,0.281,0.238666667
pgLm,m,TC,2,A01-2,12.75,0.678,0.689,0.764,0.710333333
pgLm,m,TC,2,A02-2,12.75,0.268,0.28,0.286,0.278
pgLm,m,TC,2,A03-2,12.75,0.219,0.224,0.238,0.227
pgKm,m,CO2,2,A04-2,12.73,0.253,0.268,0.281,0.267333333
pgKm,m,CO2,2,A05-2,12.73,0.678,0.652,0.646,0.658666667
pgKm,m,CO2,2,A06-2,12.73,0.17,0.176,0.181,0.175666667
pgNm,m,CO2,2,A07-2,12.7,0.2,0.203,0.207,0.203333333
pgNm,m,CO2,2,A08-2,12.7,0.475,0.493,0.508,0.492
pgNm,m,CO2,2,A09-2,12.7,0.381,0.402,0.466,0.416333333
pgJm,m,control_chamber,2,A10-2,12.33,0.177,0.178,0.204,0.186333333
pgJm,m,control_chamber,2,A11-2,12.33,0.212,0.221,0.393,0.275333333
pgJm,m,control_chamber,2,A12-2,12.33,0.188,0.189,0.29,0.222333333
pgMm,m,control_chamber,2,B01-2,12.3,0.377,0.389,0.426,0.397333333
pgMm,m,control_chamber,2,B02-2,12.3,0.388,0.392,0.403,0.394333333
pgMm,m,control_chamber,2,B03-2,12.3,0.405,0.418,0.428,0.417
pgPm,m,TC,2,B04-2,12.27,0.597,0.624,0.642,0.621
pgPm,m,TC,2,B05-2,12.27,0.842,0.836,0.861,0.846333333
pgPm,m,TC,2,B06-2,12.27,0.194,0.208,0.224,0.208666667
pgOm,m,control_chamber,2,B07-2,12.72,0.192,0.206,0.278,0.225333333
pgOm,m,control_chamber,2,B08-2,12.72,0.577,0.607,0.811,0.665
pgOm,m,control_chamber,2,B09-2,12.72,0.832,0.818,0.895,0.848333333
